source,name,triplet,elevation,wind,timezone,lat,lng,date,depth,depth_change,water_equiv,water_equiv_change
SNOTEL,HILTS CREEK,524:ID:SNTL,8000,False,-7,44.01897,-113.4723,2014-11-07,3,0,1.3,0.0
SNOTEL,DOLLARHIDE SUMMIT,450:ID:SNTL,8420,False,-7,43.6025,-114.67417,2014-11-07,2,0,1.2,0.0
SNOTEL,FRY,488:AZ:SNTL,7200,False,-7,35.07297,-111.84374,2014-11-07,0,0,0.2,0.0
SNOTEL,PAYSON R.S.,686:UT:SNTL,8066,False,-7,39.92967,-111.63107,2014-11-07,0,-1,0.1,0.0
SNOTEL,ELK PEAK,1106:MT:SNTL,7600,True,-7,46.4845,-110.7125,2014-11-07,0,-1,0.0,-0.3
SNOTEL,SCHWARTZ LAKE,915:ID:SNTL,8540,False,-7,44.84618,-113.83732,2014-11-07,0,-1,0.5,0.1
SNOTEL,BIG FLAT,339:UT:SNTL,10349,False,-7,38.30183,-112.35672,2014-11-07,2,0,0.3,0.0
SNOTEL,NORTH COSTILLA,665:NM:SNTL,10600,True,-7,36.99378,-105.25963,2014-11-07,0,-1,0.0,0.0
SNOTEL,NEW CRESCENT LAKE,660:OR:SNTL,4910,False,-8,43.51185,-121.97982,2014-11-07,0,,0.0,-0.1
SNOTEL,UPPER RIO GRANDE,839:CO:SNTL,9400,False,-7,37.72194,-107.26015,2014-11-07,0,-1,0.3,-0.1
SNOTEL,HAPPY JACK,969:AZ:SNTL,7630,True,-7,34.74598,-111.41207,2014-11-07,0,0,0.0,0.0
SNOTEL,MAGIC MOUNTAIN,610:ID:SNTL,6880,False,-7,42.18072,-114.28662,2014-11-07,1,1,0.1,0.0
SNOTEL,COLUMBINE PASS,409:CO:SNTL,9400,False,-7,38.41795,-108.38249,2014-11-07,0,0,0.0,0.0
SNOTEL,SADDLE MOUNTAIN,726:OR:SNTL,3110,False,-8,45.54477,-123.37315,2014-11-07,,,0.0,-0.1
SNOTEL,HANSEN SAWMILL,512:WY:SNTL,8360,False,-7,44.25602,-106.97983,2014-11-07,0,0,0.0,0.0
SNOTEL,BURRO MOUNTAIN,378:CO:SNTL,9400,False,-7,39.87505,-107.59853,2014-11-07,2,-2,0.8,0.0
SNOTEL,LAKEVIEW RIDGE,568:MT:SNTL,7400,False,-7,44.58907,-111.82498,2014-11-07,0,0,0.0,0.0
SNOTEL,CHEPETA,396:UT:SNTL,10592,False,-7,40.7745,-110.0105,2014-11-07,5,0,1.0,0.1
SNOTEL,UPPER CHENA,952:AK:SNTL,2850,False,-9,65.1,-144.93317,2014-11-07,12,0,,
SNOTEL,ADIN MTN,301:CA:SNTL,6190,False,-8,41.23583,-120.79192,2014-11-07,0,0,0.0,0.0
SNOTEL,OCHOCO MEADOWS,671:OR:SNTL,5430,False,-8,44.42917,-120.3311,2014-11-07,,,0.0,0.0
SNOTEL,DALY CREEK,433:MT:SNTL,5780,False,-7,46.18367,-113.8533,2014-11-07,0,-1,0.1,-0.1
SNOTEL,EAST RIM DIVIDE,460:WY:SNTL,7930,False,-7,43.13097,-110.2023,2014-11-07,0,0,0.1,0.0
SNOTEL,TOWER,825:CO:SNTL,10500,False,-7,40.53743,-106.6768,2014-11-07,8,0,1.9,0.0
SNOTEL,PRUDHOE BAY,1177:AK:SNTL,30,False,-9,70.26666,-148.56666,no data,no data,no data,no data,no data
SNOTEL,GALENA SUMMIT,490:ID:SNTL,8780,False,-7,43.87497,-114.71363,2014-11-07,6,,1.7,0.0
SNOTEL,KOLOB,561:UT:SNTL,9206,False,-7,37.52617,-113.05402,2014-11-07,3,0,1.6,0.4
SNOTEL,MORSE LAKE,642:WA:SNTL,5410,False,-8,46.90585,-121.4827,2014-11-07,0,0,0.0,0.0
SNOTEL,STAHL PEAK,787:MT:SNTL,6030,False,-7,48.90902,-114.86298,2014-11-07,5,-1,1.9,-0.2
SNOTEL,BOULDER MOUNTAIN,360:MT:SNTL,7950,False,-7,46.5596,-111.28973,2014-11-07,3,-1,0.8,0.0
SNOTEL,MOSBY MTN.,643:UT:SNTL,9510,False,-7,40.60783,-109.8881,2014-11-07,4,-1,0.7,0.0
SNOTEL,COCHETOPA PASS,1059:CO:SNTL,10020,False,-7,38.16283,-106.59883,2014-11-07,1,-1,0.2,0.0
SNOTEL,SEINE CREEK,743:OR:SNTL,2060,False,-8,45.52688,-123.29857,2014-11-07,,,0.0,0.0
SNOTEL,POTATO HILL,702:WA:SNTL,4510,False,-8,46.34963,-121.51435,2014-11-07,0,0,0.0,0.0
SNOTEL,VALLECITO,843:CO:SNTL,10880,False,-7,37.4851,-107.5068,2014-11-07,1,0,0.1,-0.3
SNOTEL,TOUCHET,824:WA:SNTL,5530,True,-8,46.11868,-117.8505,2014-11-07,2,2,0.1,0.0
SNOTEL,SAWMILL RIDGE,1068:WA:SNTL,4640,True,-8,47.15992,-121.42172,2014-11-07,0,0,0.2,0.2
SNOTEL,SHELDON,750:NV:SCAN,5860,False,-8,41.9045,-119.4436,2014-11-07,,,0.1,-0.2
SNOTEL,CHAPMAN TUNNEL,1101:CO:SNTL,10110,False,-7,39.26217,-106.62931,2014-11-07,3,1,0.5,0.0
SNOTEL,MIDDLE POWDER,625:WY:SNTL,7760,False,-7,43.62728,-107.18138,2014-11-07,0,0,0.0,0.0
SNOTEL,BIG MEADOW,340:NV:SNTL,8249,False,-8,39.45503,-119.94222,2014-11-07,,,0.0,0.0
SNOTEL,TRES RITOS,1083:NM:SNTL,8600,True,-7,36.12778,-105.52714,2014-11-07,0,0,0.0,0.0
SNOTEL,BANNER SUMMIT,312:ID:SNTL,7040,False,-7,44.30342,-115.23447,2014-11-07,0,0,0.3,-0.2
SNOTEL,BEN LOMOND TRAIL,333:UT:SNTL,5829,False,-7,41.38283,-111.92105,2014-11-07,1,1,0.0,0.0
SNOTEL,DRAW CREEK,454:NV:SNTL,7200,False,-8,41.66198,-115.32397,2014-11-07,0,0,0.2,0.2
SNOTEL,TOE JAM,1136:NV:SNTL,7700,False,-8,41.32,-116.34,2014-11-07,5,0,1.7,0.0
SNOTEL,DIVIDE PEAK,449:WY:SNTL,8880,False,-7,41.30398,-107.15241,2014-11-07,1,-1,0.5,0.0
SNOTEL,WILSON CREEK,871:ID:SNTL,7120,False,-7,42.01257,-115.00278,2014-11-07,0,-1,0.1,0.0
SNOTEL,CAVE MOUNTAIN,1152:NV:SNTL,10583,False,-7,39.16337,-114.6133,2014-11-07,1,0,0.6,0.1
SNOTEL,BEAR SADDLE,324:ID:SNTL,6180,False,-7,44.60553,-116.98008,2014-11-07,1,,0.6,-0.6
SNOTEL,POLE CREEK R.S.,698:NV:SNTL,8330,False,-8,41.87306,-115.24694,2014-11-07,1,1,0.7,0.0
SNOTEL,JUNE LAKE,553:WA:SNTL,3440,False,-8,46.14778,-122.15413,2014-11-07,0,0,,
SNOTEL,MANY GLACIER,613:MT:SNTL,4900,True,-7,48.79698,-113.6705,2014-11-07,1,1,0.1,0.1
SNOTEL,BURNSIDE LAKE,1051:CA:SNTL,8129,False,-8,38.71943,-119.8942,2014-11-07,1,0,0.2,0.1
SNOTEL,DUNGENESS,943:WA:SNTL,4010,False,-8,47.87224,-123.0788,2014-11-07,0,0,0.0,0.0
